# USB-IF Vendor ID lookup
# Source: https://www.usb.org/sites/default/files/vendor_ids03102026_0.pdf
# Obsolete source: https://www.usb.org/sites/default/files/obsoletevids_10232019.pdf
# Fetched: 2026-05-13T08:45:39Z
# Format: <decimal_vid>\t<vendor_name>
0	USB Implementers Forum
0001	Fry's Electronics ‐ OBSOLETE
0002	Ingram ‐ OBSOLETE
0003	Club Mac/Club PC ‐ OBSOLETE
0004	Nebraska Furniture Mart ‐ OBSOLETE
34	Api error test company
35	Test Primary Contact API Push
121	Shenzhen Longshengwei Technology, Co., Ltd.
314	Aimgene Technology Co., Ltd
972	GN OTOMETRICS
1000	EndPoints Inc.
1001	Thesys Microelectronics
1002	Data Broadcasting Corp.
1003	Atmel Corporation
1004	Iwatsu America Inc.
1005	Mitel Corporation
1006	Mitsumi
1007	Elonex Technologies Inc. ‐ OBSOLETE
1008	HP Inc.
1009	Genoa Technology
1010	Oak Technology, Inc
1011	Adaptec, Inc.
1012	Diebold, Inc.
1013	Siemens Electromechanical
1014	Olivetti ‐ OBSOLETE
1015	Tulip Computers International
1016	Epson Imaging Technology Center
1017	KeyTronic Corp.
1018	Brooktree Corp. ‐ OBSOLETE
1019	OPTi Inc.
1020	Elitegroup Computer Systems
1021	Xilinx Inc.
1022	Farallon Comunications
1023	Weitek Corporation
1024	National Semiconductor
1025	National Registry Inc.
1026	ALi Corporation
1027	Future Technology Devices International Limited
1028	NCR Corporation
1029	inSilicon
1030	Fujitsu-ICL Computers
1031	Fujitsu Personal Systems, Inc.
1032	Quanta Computer Inc.
1033	NEC Corporation
1034	Eastman Kodak Company
1035	Weltrend Semiconductor
1036	VTech Computers Ltd
1037	VIA Technologies, Inc.
1038	MCCI Corporation
1039	Echo Speech Corporation
1040	Isis Distributed Systems, Inc.
1041	BUFFALO INC.
1042	Award Software International
1043	Leadtek Research Inc.
1044	Giga-Byte Technology Co., Ltd.
1045	First International Computer ‐ OBSOLETE
1046	Nuvoton Technology Corp.
1047	Symbios, Inc.
1048	AST Research
1049	Samsung Info. Systems America Inc.
1050	Phoenix Technologies Ltd.
1051	d'TV
1052	Altera Corp. ‐ OBSOLETE
1053	S3 Incorporated
1054	Creative Labs
1055	LCS Telegraphics
1056	Chips and Technologies
1057	Nokia Corporation
1058	ADI Systems Inc.
1059	CATC
1060	Microchip-SMSC
1061	Freescale Semiconductor Hong Kong Limited
1062	Integrated Device Technology
1063	Motorola Electronics Taiwan Ltd.
1064	Advanced Gravis Computer Ltd.
1065	Cirrus Logic Inc.
1066	Ericsson Austrian, AG
1068	Innovative Semiconductors, Inc.
1069	Micronics
1070	Acer, Inc.(2)
1071	Molex LLC
1072	FCL Components Limited
1073	ITAC Systems, Inc.
1074	Unisys Corp.
1075	Alps Electric Inc.
1076	Samsung Info. Systems America Inc.(2)
1077	Hyundai Electronics America
1078	Taugagreining HF
1079	Framatome Connectors USA
1080	Advanced Micro Devices
1081	Voice Technologies Group
1082	OKI Electric Industry ‐ OBSOLETE
1083	Hyundai Electronics America ‐ OBSOLETE
1084	Lucid Designs
1085	Lexmark International Inc.
1086	LG Electronics USA Inc.
1087	RadiSys Corporation
1088	EIZO NANAO CORPORATION
1089	Winbond Systems Lab.
1090	Cygnion Corp.
1091	Gateway 2000
1092	Chuntex Electronic ‐ OBSOLETE
1093	Agere Systems
1094	NMB Technologies Corporation
1095	Momentum Microsystems
1096	L.G. Semicon Co., Ltd. ‐ OBSOLETE
1097	Eldim
1098	Shamrock Technology Co., Ltd.
1099	WSI
1100	CCL/ITRI
1101	Siemens Nixdorf AG
1102	ALPS ALPINE CO., LTD.
1103	ThrustMaster, Inc.
1104	DFI Inc.
1105	Texas Instruments
1106	Mitsubishi Electric & Electronics US, Inc.
1107	CMD Technology
1108	Vobis Microcomputer AGO
1109	Telematics International, Inc.
1110	Analog Devices, Inc.
1111	Silicon Integrated Systems Corp.
1112	KYE Systems Corp.
1113	Adobe Systems, Inc.
1114	SONICblue Incorporated
1115	Renesas Electronics Corp.
1116	Motorola Computer Grp. ‐ OBSOLETE
1117	Nortel Networks
1118	Microsoft Corporation
1120	Ace Cad Enterprise Co., Ltd.
1121	Primax Electronics
1122	Questec ‐ OBSOLETE
1123	EATON
1124	AMP/Tycoelectronics
1125	Pacific Micro Computing
1126	Hewlett Packard ‐ OBSOLETE
1127	AT&T Paradyne
1128	Wieson Technologies Co., Ltd.
1129	Arys Corp. ‐ OBSOLETE
1130	CHERRY
1131	American Megatrends
1132	Toshiba Corporation, Digital Media Network Company
1133	Logitech Inc.
1134	Behavior Tech Computer Corporation
1135	Crystal Semiconductor
1136	Hyundai Electronics ‐ OBSOLETE
1137	Philips Consumer Lifestyle BV
1138	Oracle America, Inc.
1139	Sanyo Information Business Co., Ltd.
1140	Sanyo Electric Co. Ltd.
1141	TECO Electric & Machinery Co., Ltd.
1142	AESP
1143	Seagate Technology
1144	Connectix Corp.
1145	Advanced Peripheral Laboratories
1146	Semtech Corporation
1147	Silitek Corp.
1149	Kensington
1150	Avago Technologies Inc.
1151	Plantronics, Inc.
1152	Toshiba Electric Device & Storage Corporation (TDSC)
1153	Zenith Data Systems
1154	Kyocera Corporation
1155	STMicroelectronics
1156	Specialix
1157	Nokia Monitors
1158	ASUS Computers Inc.
1159	Stewart Connector
1160	Cirque Corporation
1161	Foxconn / Hon Hai
1162	S-MOS Systems, Inc.
1163	Ravicad ‐ OBSOLETE
1164	Alps Electric Ireland Ltd.
1165	ITE Tech. Inc.
1166	Hosiden America Corp. ‐ OBSOLETE
1167	Eicon Tech.
1168	United Microelectronic Corporation (UMC)
1169	Capetronic Kaohsiung Corp.
1170	Samsung Semiconductor, Inc.
1171	MAG Technology Co., Ltd.
1172	Yamaha Corp. ‐ OBSOLETE
1173	ESS Technology, Inc.
1174	Micron Electronics
1175	Smile International, Inc.
1176	Capetronic (Kaohsiung) Corp.
1177	Yamaha Corporation
1178	Gandalf Technologies Ltd.
1179	Curtis Computer Products
1180	Acer Advanced Labs, Inc.
1181	VLSI Technology, Inc.
1182	SMOS Systems ‐ OBSOLETE
1183	Compaq Computer Corporation
1184	Digital Equipment Corp.
1185	SystemSoft Corporation
1186	FirePower Systems
1187	Trident Microsystems Inc.
1188	Hitachi, Ltd.
1189	BenQ Corporation
1190	Nokia Display Products
1191	Visioneer
1192	Multivideo Labs, Inc.
1193	Canon Inc.
1194	Daewoo Teletech Co., Ltd.
1195	Chromatic Research
1196	Micro Audiometrics Corp.
1197	Dooin Electronics
1198	Brooktree Corporation
1199	Winnov L.P.
1200	Nikon Corporation
1201	Pan International
1202	Pan International ‐ OBSOLETE
1203	IBM Corporation
1204	Cypress Semiconductor
1205	ROHM Co., Ltd.
1206	Hint Corporation
1207	Compal Electronics, Inc.
1208	Seiko Epson Corp.
1209	SafeNet, Inc.
1210	Toucan Systems Limited
1211	I-O Data Device, Inc.
1212	Digital Systems Associates
1213	Toshiba Electronics Taiwan Corp.
1214	Telia Research AB
1215	TDK Corporation
1218	Methode Electronics Far East Pte Ltd.
1219	Maxi Switch, Inc.
1220	Lockheed Martin Energy Research
1221	Fujitsu Ltd.
1222	Toshiba America Electronic Components
